epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.8863,1.46278,3.10577,1.54721,0.53628,0.21887,0.27572,0.1183,1.99869,2.79561,1.99549,0.000235098,0.000235098,0.000235098
2,100.316,1.37617,2.0719,1.49825,0.5727,0.3122,0.36453,0.1757,1.8283,2.12534,1.86662,0.000457485,0.000457485,0.000457485
3,145.618,1.31457,1.84373,1.46473,0.56198,0.39671,0.41944,0.18047,1.99245,2.08446,1.96927,0.000664165,0.000664165,0.000664165
4,191.698,1.29755,1.7413,1.44079,0.53454,0.411,0.39744,0.1586,2.1086,2.10219,2.16167,0.000643314,0.000643314,0.000643314
5,237.021,1.26092,1.66261,1.40529,0.61683,0.44506,0.48461,0.20771,1.98208,1.91808,1.9432,0.000619752,0.000619752,0.000619752
6,282.861,1.23474,1.56341,1.39011,0.55499,0.48861,0.49814,0.22909,1.88225,1.78633,1.83672,0.00059619,0.00059619,0.00059619
7,327.979,1.21391,1.51824,1.37273,0.62018,0.5345,0.55018,0.23345,1.97526,1.70783,1.9483,0.000572628,0.000572628,0.000572628
8,373.944,1.20241,1.47229,1.36143,0.73876,0.53059,0.58212,0.28443,1.81896,1.5924,1.8198,0.000549066,0.000549066,0.000549066
9,419.141,1.17893,1.43006,1.34454,0.6524,0.55503,0.58126,0.27661,1.82781,1.61934,1.79557,0.000525504,0.000525504,0.000525504
10,468.535,1.15651,1.37896,1.32968,0.71815,0.55204,0.60237,0.27951,1.82568,1.56461,1.76099,0.000501942,0.000501942,0.000501942
11,515.294,1.14759,1.36061,1.31785,0.71659,0.57959,0.61313,0.30975,1.76249,1.43434,1.71312,0.00047838,0.00047838,0.00047838
12,568.293,1.13498,1.30482,1.30776,0.78987,0.52704,0.62123,0.30177,1.79079,1.43658,1.75399,0.000454818,0.000454818,0.000454818
13,613.792,1.12125,1.27395,1.29753,0.69671,0.58062,0.60923,0.27925,1.88787,1.42839,1.83683,0.000431256,0.000431256,0.000431256
14,662.633,1.10992,1.25297,1.28866,0.77267,0.59183,0.65428,0.32153,1.74624,1.33367,1.693,0.000407694,0.000407694,0.000407694
15,711.159,1.10543,1.2317,1.28947,0.78835,0.58349,0.65576,0.32897,1.7741,1.33651,1.71854,0.000384132,0.000384132,0.000384132
16,756.006,1.10218,1.22666,1.27976,0.76858,0.61472,0.65973,0.33517,1.71824,1.28918,1.68363,0.00036057,0.00036057,0.00036057
17,801.895,1.08006,1.18625,1.26709,0.81324,0.58933,0.67343,0.34574,1.74857,1.27881,1.70434,0.000337008,0.000337008,0.000337008
18,847.497,1.0742,1.18909,1.26934,0.81629,0.58289,0.67593,0.33566,1.75735,1.23784,1.71645,0.000313446,0.000313446,0.000313446
19,893.887,1.07126,1.14696,1.25856,0.82858,0.60249,0.68391,0.35302,1.64924,1.22875,1.62554,0.000289884,0.000289884,0.000289884
20,938.915,1.05453,1.1333,1.24795,0.82777,0.60526,0.6907,0.36946,1.62843,1.18246,1.6305,0.000266322,0.000266322,0.000266322
21,984.933,1.09493,1.08068,1.27521,0.80968,0.62725,0.68585,0.37753,1.61814,1.17275,1.64554,0.00024276,0.00024276,0.00024276
22,1027.48,1.0733,1.03101,1.26311,0.7983,0.63446,0.70195,0.39212,1.54654,1.12962,1.55872,0.000219198,0.000219198,0.000219198
23,1070.44,1.06087,1.0046,1.24875,0.81869,0.63455,0.69965,0.37143,1.66849,1.14452,1.65476,0.000195636,0.000195636,0.000195636
24,1112.47,1.04828,0.98872,1.24765,0.82735,0.64644,0.70755,0.40258,1.57087,1.11264,1.57134,0.000172074,0.000172074,0.000172074
25,1154.55,1.02957,0.96574,1.23324,0.85485,0.63171,0.71524,0.38496,1.64647,1.09361,1.6329,0.000148512,0.000148512,0.000148512
26,1197.58,1.02477,0.94202,1.2272,0.84095,0.65617,0.72422,0.41703,1.52468,1.06203,1.53766,0.00012495,0.00012495,0.00012495
27,1239.51,1.0144,0.93012,1.22233,0.88029,0.6486,0.72723,0.41112,1.53562,1.0424,1.56366,0.000101388,0.000101388,0.000101388
28,1281.43,1.00335,0.91632,1.21272,0.83576,0.66931,0.73184,0.41454,1.51624,1.03229,1.54907,7.7826e-05,7.7826e-05,7.7826e-05
29,1323.34,0.99537,0.90657,1.21232,0.83749,0.66924,0.73319,0.42098,1.51285,1.02172,1.54699,5.4264e-05,5.4264e-05,5.4264e-05
30,1365.95,0.98252,0.88818,1.19713,0.83375,0.67666,0.73123,0.41112,1.5463,1.02115,1.57305,3.0702e-05,3.0702e-05,3.0702e-05
